LookbackM,CAGR,Vol,Sharpe,MDD,WinRate,Months,Group
3,-0.00818548672670294,0.14752500158459791,-0.11405540945670692,-0.49910493788467625,0.5775862068965517,116,Multi(300+Gold+Tbond)
6,0.10530519801667015,0.11839423096687307,0.7381254024759869,-0.1432975434329936,0.6548672566371682,113,Multi(300+Gold+Tbond)
9,0.056100215499848005,0.139286669612155,0.3210638797629518,-0.22445738485971412,0.6,110,Multi(300+Gold+Tbond)
12,0.08249990752624847,0.11447759462627648,0.5759441265334952,-0.17911467638932865,0.5981308411214953,107,Multi(300+Gold+Tbond)
