,BH_510300.SH,BH_518880.SH,BH_511260.SH
CAGR,0.016454553113005144,0.08913642778153541,0.04235703823454129
Vol,0.21628571016960801,0.12140023314718082,0.02736994804370955
Sharpe,0.08942218652812446,0.6002330807181635,0.8010992972824568
MDD,-0.40556247405562473,-0.17101518026565443,-0.042086968672762626
WinRate,0.5546218487394958,0.5378151260504201,0.7272727272727273
Months,119.0,119.0,88.0
