,BH_510300.SH,BH_518880.SH
CAGR,0.016454553113005144,0.08913642778153541
Vol,0.21628571016960801,0.12140023314718082
Sharpe,0.08942218652812446,0.6002330807181635
MDD,-0.40556247405562473,-0.17101518026565443
WinRate,0.5546218487394958,0.5378151260504201
Months,119.0,119.0
